id,previous_rank,current_rank,previous_score,current_score,previous_pop,current_pop,previous_ac,current_ac,rank_change
188,2638.0,2663.0,40.3,40.0,1.0,1.0,98.7,98.7,-25.0
190,2200.0,2251.0,43.6,43.3,1.0,1.0,98.7,98.7,-51.0
192,2818.0,2848.0,38.6,38.4,2.0,2.0,98.7,98.7,-30.0
193,2767.0,2794.0,39.1,38.9,2.0,2.0,98.7,98.7,-27.0
194,3205.0,3215.0,34.4,34.2,2.0,2.0,98.7,98.7,-10.0
195,2923.0,2946.0,37.5,37.3,2.0,2.0,98.7,98.7,-23.0
196,1627.0,1664.0,47.4,47.1,1.0,1.0,98.7,98.7,-37.0
197,2301.0,2352.0,42.9,42.7,2.0,2.0,98.7,98.7,-51.0
198,1643.0,1682.0,47.3,47.0,2.0,2.0,98.7,98.7,-39.0
199,2563.0,2596.0,40.9,40.6,2.0,2.0,98.7,98.7,-33.0
200,2978.0,3005.0,37.0,36.8,2.0,2.0,98.7,98.7,-27.0
201,1388.0,1406.0,49.3,49.0,2.0,2.0,98.7,98.7,-18.0
202,2788.0,2816.0,38.9,38.7,2.0,2.0,98.7,98.7,-28.0
203,1812.0,1854.0,46.2,45.9,2.0,2.0,98.7,98.7,-42.0
204,2023.0,2065.0,45.0,44.7,2.0,2.0,98.7,98.7,-42.0
205,1786.0,1826.0,46.4,46.1,2.0,2.0,98.7,98.7,-40.0
206,2454.0,2491.0,41.7,41.5,1.0,1.0,98.7,98.7,-37.0
207,1617.0,1652.0,47.5,47.2,1.0,1.0,98.7,98.7,-35.0
208,1619.0,1605.0,47.5,47.6,3.0,3.0,99.59,99.53,14.0
209,1504.0,1468.0,48.4,48.6,4.0,4.0,99.76,99.69,36.0
210,987.0,1000.0,53.2,53.0,2.0,2.0,98.7,98.7,-13.0
211,986.0,999.0,53.3,53.0,1.0,1.0,98.7,98.7,-13.0
212,1370.0,1387.0,49.4,49.2,2.0,3.0,99.3,99.3,-17.0
213,1282.0,1277.0,50.4,50.3,14.0,16.0,99.3,99.3,5.0
218,2438.0,2476.0,41.8,41.6,2.0,2.0,98.7,98.7,-38.0
219,997.0,1022.0,53.1,52.8,2.0,2.0,98.7,98.7,-25.0
220,2707.0,2738.0,39.6,39.3,2.0,2.0,98.7,98.7,-31.0
221,2228.0,2279.0,43.4,43.1,2.0,2.0,98.7,98.7,-51.0
223,1080.0,1091.0,52.2,52.0,1.0,1.0,98.7,98.7,-11.0
224,2152.0,2196.0,44.0,43.7,1.0,1.0,98.7,98.7,-44.0
225,3511.0,3523.0,28.1,27.9,1.0,1.0,99.3,99.3,-12.0
226,,2241.0,,43.4,,1.0,,99.3,
227,2310.0,2346.0,42.8,42.7,10.0,12.0,99.3,99.3,-36.0
228,2466.0,2502.0,41.6,41.4,1.0,1.0,98.7,98.7,-36.0
229,2901.0,2918.0,37.8,37.6,2.0,2.0,98.7,98.7,-17.0
230,1737.0,1781.0,46.7,46.4,2.0,2.0,98.7,98.7,-44.0
231,1859.0,1903.0,45.9,45.7,1.0,1.0,98.7,98.7,-44.0
232,1909.0,1946.0,45.6,45.4,2.0,2.0,98.7,98.7,-37.0
233,3042.0,3065.0,36.4,36.1,2.0,2.0,98.7,98.7,-23.0
234,2945.0,2975.0,37.3,37.0,2.0,2.0,98.7,98.7,-30.0
235,3281.0,3302.0,33.2,33.0,1.0,1.0,98.7,98.7,-21.0
236,1303.0,1314.0,50.2,50.0,2.0,2.0,98.7,98.7,-11.0
237,1901.0,1962.0,45.7,45.3,4.0,4.0,99.32,99.34,-61.0
238,2617.0,2657.0,40.5,40.1,5.0,5.0,99.42,99.44,-40.0
239,3122.0,3138.0,35.5,35.3,10.0,11.0,99.67,99.67,-16.0
