GEOID,pop,pop65,income
060371173031,2380,473,145286.0
060371173032,1782,354,126527.0
060371174041,729,193,
060371174042,1547,160,159635.0
060371174043,2940,419,119239.0
060371174051,2516,40,49813.0
060371174052,532,36,48958.0
060371174071,809,53,48385.0
060371174072,2376,129,55408.0
060371174081,2505,184,49786.0
060371175101,533,99,54628.0
060371175102,1561,27,64444.0
060371175103,1696,74,45272.0
060371175201,2115,177,57174.0
060371175202,2230,38,43462.0
060371175301,1128,197,25518.0
060371175302,1462,99,75500.0
060371175303,1908,197,64940.0
060371175304,1243,75,46641.0
060371190011,2183,378,132743.0
060371190012,2100,322,106607.0
060371190031,900,143,
060371190032,1221,178,109428.0
060371190033,1211,112,107955.0
060371190041,672,14,
060371190042,2087,342,92159.0
060371192011,858,182,125573.0
060371192012,1717,109,106130.0
060371192013,1401,220,117550.0
060371192021,611,45,82661.0
060371192022,1639,196,74177.0
060371192023,2424,405,76599.0
060371193101,1887,489,45466.0
060371193102,1880,295,96739.0
060371193201,1773,184,59655.0
060371193202,1384,21,91667.0
060371193203,1135,170,90208.0
060371193401,1748,14,44353.0
060371193402,2000,58,47644.0
060371193411,2744,543,53623.0
060371193421,1640,111,81458.0
060371193422,1151,127,66563.0
060371194001,1173,150,71250.0
060371194002,1489,169,97708.0
060371194003,1988,154,120125.0
060371197001,1791,221,81705.0
060371197002,1078,242,145556.0
060371197003,1545,208,94167.0
060371198011,1335,153,123578.0
060371198012,1367,222,80179.0
060371198021,1739,302,81750.0
060371198022,1355,121,108452.0
060371199001,1135,181,96389.0
060371199002,1973,113,83529.0
060371199003,1395,315,87569.0
060371200101,1766,121,57721.0
060371200102,877,173,100625.0
060371200201,2069,205,51761.0
060371200202,1904,261,31742.0
060371200301,2576,219,48281.0
060371201031,833,90,34107.0
060371201032,2046,47,49146.0
060371201041,2603,328,52198.0
060371201051,1639,137,50250.0
060371201052,1116,322,47661.0
060371201061,1150,92,44423.0
060371201062,1276,174,41576.0
060371201063,1856,210,35677.0
060371201071,1743,42,47938.0
060371201072,2387,281,39375.0
060371201081,2102,200,54348.0
060371201082,2456,205,59211.0
060371203001,846,130,55484.0
060371203002,1697,87,72500.0
060371203003,1240,181,65125.0
060371203004,1686,213,53445.0
060371204001,2418,519,35940.0
060371204002,1978,432,78750.0
060371204003,1424,218,98799.0
060371210101,847,163,75450.0
060371210102,1422,185,96250.0
060371210103,848,207,71204.0
060371210104,2096,355,
060371210201,1994,231,82679.0
060371210202,1487,255,54492.0
060371211011,1508,99,82887.0
060371211012,1837,221,66349.0
060371211021,610,64,80000.0
060371211022,736,138,100398.0
060371211023,908,201,66838.0
060371212101,2112,575,72813.0
060371212102,1056,100,120294.0
060371212211,603,127,95735.0
060371212212,1444,201,86500.0
060371212221,1835,119,61338.0
060371212222,1139,28,46106.0
060371212223,2137,258,114762.0
060371216001,1884,251,90865.0
060371216002,720,146,133056.0
060371218011,2690,263,49129.0
060371218012,1612,85,51509.0
060371218021,1184,187,95703.0
060371218022,2008,288,100125.0
060371219001,1148,116,70339.0
060371219002,2181,200,57123.0
060371220001,2007,217,160061.0
060371220002,2352,566,74167.0
060371220003,967,65,101824.0
060371221201,1835,182,73173.0
060371221202,2552,479,65625.0
060371221211,1766,154,46161.0
060371221212,960,101,86250.0
060371221221,979,85,53750.0
060371221222,1583,188,41944.0
060371222001,1752,156,61607.0
060371222002,1873,191,79750.0
060371224101,3014,298,61823.0
060371224102,1069,36,72622.0
060371224201,1398,241,82625.0
060371224202,2005,140,76897.0
060371224203,1925,29,75964.0
060371230101,2360,264,51458.0
060371230102,1468,105,44688.0
060371230201,1679,180,83571.0
060371230202,1125,133,97000.0
060371231031,1351,212,105425.0
060371231032,2542,198,78456.0
