h3,name,holc,access_min,access_km,street_m,access_src
8828301343fffff,Alhambra Valley NW 2,,48.5,3.88,189.0,routed
8828301345fffff,Alhambra Valley N,,41.1,3.29,3124.0,routed
8828301347fffff,Alhambra Valley N 2,,40.8,3.27,620.0,routed
8828301349fffff,Alhambra Valley W,,60.4,4.83,3792.0,routed
882830134bfffff,Alhambra Valley W 2,,78.8,6.31,2507.0,routed
882830134dfffff,Alhambra Valley,,52.0,4.16,4398.0,routed
8828301351fffff,Alhambra Valley NW 5,,75.2,6.01,0.0,routed
8828301353fffff,Martinez SW 8,,87.4,6.99,179.0,routed
8828301355fffff,Alhambra Valley NW 4,,68.2,5.46,182.0,routed
8828301357fffff,Martinez SW 6,,70.0,5.6,1145.0,routed
8828301359fffff,Alhambra Valley W 6,,104.3,8.35,783.0,routed
882830135bfffff,Alhambra Valley W 9,,92.8,7.42,0.0,routed
882830135dfffff,Alhambra Valley NW 3,,73.1,5.85,0.0,routed
8828301361fffff,Traditions at the Meadow W,,29.6,2.37,4513.0,routed
8828301363fffff,Traditions at the Meadow NW 2,,11.7,0.93,5245.0,routed
8828301365fffff,Traditions at the Meadow,,14.2,1.14,10562.0,routed
8828301367fffff,Traditions at the Meadow NW,,17.9,1.43,8503.0,routed
8828301369fffff,Traditions at the Meadow SW 2,,40.7,3.26,4677.0,routed
882830136bfffff,Traditions at the Meadow W 2,,28.7,2.29,8480.0,routed
882830136dfffff,Traditions at the Meadow SW,,25.4,2.03,8979.0,routed
8828301601fffff,Tara Hills Mobile Manor NW 27,,164.0,13.12,0.0,routed
8828301605fffff,Tara Hills Mobile Manor NW 24,,161.9,12.95,0.0,routed
8828301609fffff,Tara Hills Mobile Manor NW 25,,155.8,12.46,0.0,routed
882830160dfffff,Tara Hills Mobile Manor NW 20,,153.5,12.28,0.0,routed
8828301621fffff,Tara Hills Mobile Manor NW 26,,175.5,14.04,0.0,routed
8828301625fffff,Tara Hills Mobile Manor N 8,,180.5,14.44,0.0,routed
8828301627fffff,Farragut Village SW 11,,187.2,14.97,0.0,routed
8828301629fffff,Tara Hills Mobile Manor NW 22,,164.0,13.12,0.0,routed
882830162bfffff,Tara Hills Mobile Manor NW 28,,172.6,13.81,0.0,routed
882830162dfffff,Tara Hills Mobile Manor NW 21,,168.6,13.49,0.0,routed
8828301641fffff,Tara Hills Mobile Manor NW 17,,133.1,10.65,0.0,routed
8828301643fffff,Tara Hills Mobile Manor NW 23,,144.5,11.56,0.0,routed
8828301645fffff,Tara Hills Mobile Manor NW 14,,133.6,10.69,0.0,routed
8828301647fffff,Tara Hills Mobile Manor NW 19,,144.6,11.56,0.0,routed
8828301649fffff,San Marcos Apartments NW 8,,131.3,10.5,0.0,routed
882830164bfffff,San Marcos Apartments NW 10,,141.3,11.31,0.0,routed
882830164dfffff,Tara Hills Mobile Manor NW 12,,121.8,9.74,0.0,routed
8828301661fffff,Tara Hills Mobile Manor NW 13,,145.0,11.6,0.0,routed
8828301663fffff,Tara Hills Mobile Manor NW 18,,152.7,12.22,0.0,routed
8828301665fffff,Tara Hills Mobile Manor NW 11,,151.6,12.13,0.0,routed
8828301667fffff,Tara Hills Mobile Manor NW 16,,156.8,12.54,0.0,routed
8828301669fffff,Tara Hills Mobile Manor NW 10,,133.2,10.66,0.0,routed
882830166bfffff,Tara Hills Mobile Manor NW 15,,141.9,11.35,0.0,routed
882830166dfffff,Tara Hills Mobile Manor NW 8,,140.2,11.21,0.0,routed
8828301701fffff,Farragut Village SW 3,,61.8,4.94,0.0,routed
