GEOID,pop,pop65,income
060133470003,2035,187,232356.0
060133480001,738,159,241813.0
060133480002,2062,518,250001.0
060133480003,1995,286,250001.0
060133490001,2344,518,136103.0
060133490002,1854,465,250001.0
060133490003,1071,268,96125.0
060133500001,1704,158,163235.0
060133500002,624,255,250001.0
060133500003,1426,494,206683.0
060133500004,2005,287,197721.0
060133511011,537,529,97813.0
060133511012,607,543,69688.0
060133511013,1451,1405,77532.0
060133511031,778,652,96750.0
060133511032,1196,1074,106544.0
060133511041,523,511,60469.0
060133511042,612,534,48355.0
060133511043,500,444,80568.0
060133511051,744,706,58536.0
060133511052,1083,892,76324.0
060133512001,1350,270,250001.0
060133512002,1726,510,250001.0
060133512003,2387,520,250001.0
060133521011,3572,596,250001.0
060133521021,1469,285,250001.0
060133521022,617,155,
060133521023,2247,271,247417.0
060133521024,888,215,250001.0
060133522011,2676,276,129156.0
060133522012,1460,346,
060133522013,1964,541,199896.0
060133522021,2546,768,176318.0
060133530011,1273,380,232292.0
060133530012,1624,169,250001.0
060133530013,1748,213,250001.0
060133530021,445,178,212639.0
060133530022,1884,405,250001.0
060133530023,1319,361,250001.0
060133530024,757,137,217222.0
060133540011,2212,471,223207.0
060133540021,2592,627,250001.0
060133540022,839,143,
060133540023,1422,360,250001.0
060133540024,2114,854,197266.0
060133551071,1610,282,101825.0
060133551072,1749,202,155347.0
060133551073,2138,314,140729.0
060133551091,1553,123,121190.0
060133551092,599,315,215714.0
060133551093,2753,690,88640.0
060133551094,2890,165,128158.0
060133551101,2849,420,133558.0
060133551102,1290,105,119352.0
060133551111,2503,326,96328.0
060133551112,2809,260,
060133551113,1335,186,125212.0
060133551121,1435,184,164920.0
060133551122,1389,686,229479.0
060133551123,2912,736,233846.0
060133551131,1805,457,239038.0
060133551132,2269,415,242143.0
060133551133,1386,236,246071.0
060133551151,1689,193,
060133551152,2781,138,243839.0
060133551153,5692,469,123947.0
060133551181,1931,163,100643.0
060133551182,1833,382,225764.0
060133551191,1238,127,166435.0
060133551192,3869,491,157201.0
060133551201,2995,408,98191.0
060133551202,964,194,158628.0
060133551211,1862,90,246538.0
060133551212,2631,390,250001.0
060133551213,1752,97,245568.0
060133551221,1533,324,230000.0
060133551222,970,10,155897.0
060133551223,2930,353,250001.0
060133551231,2279,58,250001.0
060133551232,783,69,250001.0
060133551241,1063,21,250001.0
060133551242,2456,153,250001.0
060133551243,1054,40,250001.0
060133551251,2501,153,250001.0
060133551252,1578,66,196806.0
060133551261,4593,640,250001.0
060133551262,1291,165,250001.0
060133552011,2247,250,176389.0
060133552012,2172,184,167651.0
060133552013,4039,528,155357.0
060133552021,963,37,91544.0
060133552022,2700,267,233816.0
060133553021,981,240,250001.0
060133553022,707,141,178571.0
060133553023,1597,342,250001.0
060133553061,763,185,121500.0
060133553062,1229,133,186250.0
060133553063,1032,232,145930.0
060133553064,1030,167,159808.0
060133553065,621,124,168750.0
060133553071,2667,261,186042.0
060133553072,1834,390,125804.0
060133553081,1037,272,183295.0
060133553082,1331,152,163963.0
060133553083,1134,224,196058.0
060133553091,1033,313,187500.0
060133553092,1292,197,250001.0
060133553093,2632,499,175938.0
060133553101,1667,399,103333.0
060133553102,1124,168,110404.0
060133560011,972,233,81576.0
060133560012,1806,379,111600.0
060133560013,921,98,111442.0
060133560021,2842,695,160000.0
060133560022,2765,543,118223.0
060133570001,1131,227,81563.0
060133570002,1044,459,101920.0
060133570003,1202,210,147625.0
060133580001,934,188,143438.0
060133580002,911,222,71250.0
060133580003,693,145,111442.0
060133580004,1885,222,61875.0
060133580005,1253,90,41096.0
060133591021,1012,196,84000.0
060133591022,2061,512,121027.0
060133591023,2077,294,141477.0
060133591031,1843,165,105703.0
060133591032,875,283,116667.0
060133591033,1297,274,130781.0
060133591034,1395,250,101154.0
060133591041,2623,322,111833.0
060133591051,2305,503,116010.0
060133591052,2843,275,148836.0
060133592021,2572,519,144796.0
060133592022,2611,968,131484.0
060133592023,1520,343,118730.0
060133592031,1569,532,131154.0
060133592032,1371,338,106156.0
060133592033,4104,612,146341.0
060133592041,985,165,127500.0
060133592042,1239,309,125179.0
060133592043,2313,695,161705.0
060133601011,587,169,
060133601012,1862,300,117297.0
060133601013,1394,409,98333.0
060133601021,1911,590,153781.0
060133601022,2086,500,152833.0
060133601023,1272,355,201903.0
060133602001,2628,436,111250.0
060133602002,1519,189,116766.0
060133602003,1412,164,127639.0
060133610001,1144,165,71750.0
060133610002,1776,452,133333.0
060133610003,2026,370,108500.0
060133620001,1059,144,142222.0
060133620002,950,198,119306.0
060133620003,878,347,117313.0
060133630001,2136,440,118393.0
060133630002,2061,581,112424.0
060133630003,2514,794,89117.0
060133630004,861,138,81504.0
060133640021,1882,397,94875.0
060133640022,1581,174,93371.0
060133640023,1854,236,151250.0
060133650021,2409,265,80455.0
060133650022,1188,21,69643.0
060133650023,1839,190,75260.0
060133650031,1568,404,116250.0
060133650032,1326,160,72289.0
060133650033,1276,265,55361.0
060133650034,928,57,56806.0
060133660011,1504,143,73523.0
060133660012,3076,294,108095.0
060133660021,1021,172,54728.0
060133660022,1949,251,132950.0
060133660023,3473,298,84955.0
060133671001,1824,293,122813.0
060133671002,640,69,
060133671003,2222,210,58180.0
060133671004,1092,272,106295.0
060133672001,1656,137,114474.0
060133672002,3010,190,82670.0
060133672003,1220,185,131094.0
060133680011,619,17,
060133680012,1308,136,102240.0
060133680013,1349,173,84063.0
060133680014,1845,57,80577.0
060133680021,1770,188,63750.0
060133680022,2504,186,64226.0
060133690011,1716,106,68685.0
060133690012,1545,571,79531.0
060133690013,1732,100,87521.0
060133690014,1659,361,73875.0
060133690015,608,172,104438.0
060133690021,795,111,65997.0
060133690022,930,163,121346.0
060133690023,1096,136,90675.0
060133700001,1735,277,142188.0
060133700002,524,189,166571.0
060133700003,728,66,180281.0
060133710001,1094,350,105512.0
060133710002,718,134,169531.0
060133710003,617,58,110509.0
060133710004,1498,235,94648.0
060133710005,902,157,94651.0
060133710006,1054,97,76339.0
060133720001,447,48,
060133720002,1316,77,51818.0
060133720003,1391,31,93439.0
060133720004,1854,259,120380.0
060133720005,649,86,
060133720006,1412,59,86935.0
060133720007,622,158,138750.0
060133730001,2228,241,115915.0
060133730002,1340,157,78015.0
060133730003,1045,181,50000.0
060133740001,1242,134,89583.0
060133740002,1371,243,100975.0
060133740003,571,143,18071.0
060133740004,1540,165,91250.0
060133750001,2422,92,76250.0
060133750002,1895,201,62773.0
060133750003,1189,163,84615.0
060133760001,1028,98,51829.0
060133760002,3057,206,82139.0
060133760003,1185,193,91875.0
060133760004,1472,60,
060133770001,1276,69,
060133770002,1141,49,41512.0
060133770003,857,321,29338.0
060133770004,2991,359,52000.0
060133770005,1464,241,
060133780001,1756,523,121250.0
060133780002,2329,638,148208.0
060133790001,2707,133,67258.0
060133790002,1118,198,91445.0
060133790003,2314,82,90811.0
060133790004,1983,137,45096.0
060133800011,1710,331,118009.0
060133800012,1397,357,149000.0
060133800021,2326,462,106210.0
060133800022,1032,121,30938.0
060133810001,1564,354,71250.0
060133810002,1313,194,115214.0
060133810003,543,153,92917.0
060133810004,3302,180,99890.0
060133820001,828,215,
060133820002,2279,243,36602.0
060133820003,3440,531,52405.0
060133820004,2042,77,91563.0
060133830001,2222,160,
060133830002,1696,348,123347.0
060133830003,1590,324,137275.0
060133840001,1276,342,177083.0
060133840002,725,193,250001.0
060133840003,1401,169,179500.0
060133840004,734,164,165114.0
060133851001,1893,588,171250.0
060133851002,1070,364,
060133852001,592,173,166023.0
060133852002,782,165,131034.0
060133860001,1776,141,89421.0
060133860002,1207,340,41042.0
060133860003,705,88,128370.0
060133870001,904,169,165225.0
060133870002,871,165,190833.0
060133870003,1225,177,80025.0
060133880001,1079,125,110078.0
060133880002,1803,253,142321.0
060133891001,1220,243,71094.0
060133891002,1141,158,123295.0
060133892001,627,26,91827.0
060133892002,1134,139,92857.0
060133901001,603,175,227500.0
060133901002,939,237,162083.0
060133901003,737,208,147177.0
060133902001,1213,282,162188.0
060133902002,643,154,200938.0
060133910001,928,211,154318.0
060133910002,1671,370,188000.0
060133920001,967,280,218929.0
060133920002,968,240,209400.0
060133920003,560,106,250001.0
060133922011,1420,202,74805.0
060133922012,886,26,140099.0
060133922013,2466,289,120625.0
060133922021,1215,308,75500.0
060133922022,1136,335,76548.0
060133922023,2262,313,130913.0
060133923001,2588,342,133250.0
060133923002,1221,240,218000.0
060139800001,508,5,
060139900000,0,0,
