h3,pop,pct65,income,ac_est
8828301605fffff,0.0,0.0,,66.44
8828301609fffff,0.0,0.0,,66.44
882830160dfffff,0.0,0.0,,66.44
8828301621fffff,0.0,0.0,,66.44
8828301625fffff,0.0,0.0,,66.44
8828301627fffff,0.0,0.0,,66.44
8828301629fffff,0.0,0.0,,66.44
882830162bfffff,0.0,0.0,,66.44
882830162dfffff,0.0,0.0,,66.44
8828301641fffff,0.0,0.0,,66.44
8828301643fffff,0.0,0.0,,66.44
8828301645fffff,0.0,0.0,,66.44
8828301647fffff,0.0,0.0,,66.44
8828301649fffff,0.0,0.0,,66.44
882830164bfffff,0.0,0.0,,66.44
882830164dfffff,0.0,0.0,,66.44
8828301661fffff,0.0,0.0,,66.44
8828301663fffff,0.0,0.0,,66.44
8828301665fffff,0.0,0.0,,66.44
8828301667fffff,0.0,0.0,,66.44
8828301669fffff,0.0,0.0,,66.44
882830166bfffff,0.0,0.0,,66.44
882830166dfffff,0.0,0.0,,66.44
8828301701fffff,0.0,0.0,,66.44
8828301703fffff,0.0,0.0,,66.44
8828301705fffff,0.0,0.0,,66.44
8828301707fffff,0.0,0.0,,66.44
8828301709fffff,0.0,0.0,,66.44
882830170bfffff,0.0,0.0,,66.44
882830170dfffff,0.0,0.0,,66.44
8828301711fffff,0.0,0.0,,66.44
8828301713fffff,0.0,0.0,,66.44
8828301715fffff,0.0,0.0,,66.44
8828301719fffff,0.0,0.0,,66.44
882830171bfffff,0.0,0.0,,66.44
882830171dfffff,0.0,0.0,,66.44
8828301729fffff,0.0,0.0,,66.44
8828301741fffff,0.0,0.0,,66.44
8828301743fffff,0.0,0.0,,66.44
8828301745fffff,0.0,0.0,,66.44
8828301747fffff,0.0,0.0,,66.44
8828301749fffff,0.0,0.0,,66.44
882830174bfffff,0.0,0.0,,66.44
882830174dfffff,0.0,0.0,,66.44
8828301751fffff,0.0,0.0,,66.44
8828301753fffff,0.0,0.0,,66.44
8828301755fffff,0.0,0.0,,66.44
8828301757fffff,0.0,0.0,,66.44
8828301759fffff,0.0,0.0,,66.44
882830175bfffff,0.0,0.0,,66.44
882830175dfffff,0.0,0.0,,66.44
8828301761fffff,0.0,0.0,,66.44
8828301763fffff,0.0,0.0,,66.44
8828301765fffff,0.0,0.0,,66.44
8828301767fffff,0.0,0.0,,66.44
8828301769fffff,0.0,0.0,,66.44
882830176bfffff,0.0,0.0,,66.44
882830176dfffff,0.0,0.0,,66.44
8828301a09fffff,3.0,22.88,118828.0,50.75
8828301a41fffff,17.0,22.88,118828.0,50.75
8828301a43fffff,17.0,22.88,118828.0,50.75
8828301a45fffff,17.0,22.88,118828.0,50.75
8828301a47fffff,16.0,22.88,118828.0,50.75
8828301a49fffff,17.0,22.88,118828.0,50.75
8828301a4bfffff,17.0,22.88,118828.0,50.75
8828301a4dfffff,17.0,22.88,118828.0,50.75
8828301a51fffff,15.0,22.88,118828.0,50.75
8828301a55fffff,11.0,22.88,118828.0,50.75
8828301a57fffff,0.0,22.88,118828.00000000001,51.18
8828301a59fffff,17.0,22.88,118828.0,50.75
8828301a5bfffff,9.0,22.88,118828.0,50.75
8828301a5dfffff,17.0,22.88,118828.0,50.75
8828301a61fffff,13.0,22.88,118828.0,50.75
8828301a65fffff,11.0,22.88,118827.99999999999,50.33
8828301a69fffff,17.0,22.88,118828.0,50.75
8828301a6bfffff,12.0,22.88,118828.0,50.75
8828301a6dfffff,17.0,22.88,118828.0,50.75
8828301b41fffff,74.0,8.93,81612.0,38.31
8828301b49fffff,255.0,8.93,81612.0,38.31
8828301b4bfffff,249.0,8.93,81612.0,38.31
8828301b4dfffff,147.0,8.86,81669.71645712404,38.41
8828301b59fffff,9.0,22.88,118828.0,50.75
