h3,pop,pct65,income,ac_est,ac_src
8829a11369fffff,708.0,17.82,93012.87787612886,97.49,measured
8829a1136bfffff,1534.0,16.76,92355.60303000886,97.54,measured
8829a1136dfffff,294.0,24.36,117339.50371704069,98.2,measured
8829a11641fffff,25.0,14.58,138750.0,95.7,measured
8829a11643fffff,25.0,14.58,138750.0,95.7,measured
8829a11645fffff,25.0,14.58,138750.0,95.7,measured
8829a11647fffff,25.0,14.58,138750.0,95.7,measured
8829a11649fffff,25.0,14.58,138750.0,95.7,measured
8829a1164bfffff,25.0,14.58,138750.0,95.7,measured
8829a1164dfffff,25.0,14.58,138750.0,95.7,measured
8829a1165dfffff,18.0,14.58,138750.0,95.7,measured
8829a11669fffff,25.0,14.58,138750.0,95.7,measured
8829a1166dfffff,32.0,9.92,157352.59811825765,97.67,measured
8829a11749fffff,41.0,6.28,171875.0,99.2,measured
8829a1174dfffff,41.0,6.28,171875.0,99.2,measured
8829a11a49fffff,1.0,13.11,123977.0,83.2,measured
8829a11a4dfffff,1.0,13.11,123977.00000000001,83.2,measured
8829a18001fffff,103.0,18.95,143755.69100964838,75.32,measured
8829a18003fffff,123.0,18.05,142876.36959624846,81.24,measured
8829a18005fffff,103.0,18.94,143751.07996315294,75.35,measured
8829a18007fffff,197.0,16.29,141141.39345097187,92.91,measured
8829a18009fffff,94.0,19.51,144309.0,71.6,measured
8829a1800bfffff,94.0,19.51,144309.0,71.6,measured
8829a1800dfffff,94.0,19.51,144309.0,71.6,measured
8829a18011fffff,94.0,19.51,144309.0,71.6,measured
8829a18013fffff,94.0,19.51,144309.0,71.6,measured
8829a18015fffff,128.0,17.87,142698.4747389908,82.44,measured
8829a18017fffff,143.0,17.39,142221.88776458855,85.64,measured
8829a18019fffff,94.0,19.51,144309.0,71.6,measured
8829a1801bfffff,94.0,19.51,144309.0,71.6,measured
8829a1801dfffff,94.0,19.51,144309.0,71.6,measured
8829a18021fffff,71.0,19.54,143994.5436326688,71.65,measured
8829a18023fffff,150.0,17.22,142057.6676021283,86.75,measured
8829a18025fffff,1.0,25.19,80666.00641474313,80.86,measured
8829a18027fffff,86.0,19.52,144223.3222383825,71.61,measured
8829a18029fffff,54.0,19.58,143571.56131699416,71.71,measured
8829a1802bfffff,129.0,17.84,142669.76733820484,82.63,measured
8829a1802dfffff,1.0,25.33,79018.0,81.1,measured
8829a18031fffff,200.0,16.25,141099.0,93.2,measured
8829a18033fffff,201.0,16.41,143344.549237891,93.33,measured
8829a18035fffff,200.0,16.25,141099.0,93.2,measured
8829a18037fffff,200.0,16.25,141099.0,93.2,measured
8829a18039fffff,200.0,16.25,141099.0,93.2,measured
8829a1803bfffff,200.0,16.25,141099.0,93.2,measured
8829a1803dfffff,200.0,16.25,141099.0,93.2,measured
8829a18041fffff,50.0,28.18,177084.7656100064,82.19,measured
8829a18043fffff,76.0,21.74,152733.27913813957,74.32,measured
8829a18045fffff,46.0,29.51,182083.0,83.8,measured
8829a18047fffff,91.0,19.82,145485.0869572896,71.98,measured
8829a18049fffff,46.0,29.51,182083.0,83.8,measured
8829a1804bfffff,46.0,29.51,182083.0,83.8,measured
8829a1804dfffff,46.0,29.51,182083.00000000003,83.8,measured
8829a18051fffff,56.0,26.09,169193.0308966691,79.64,measured
8829a18053fffff,75.0,22.02,153779.17300518384,74.66,measured
8829a18055fffff,92.0,19.75,145226.01701581886,71.9,measured
8829a18057fffff,93.0,19.64,144780.46867159347,71.75,measured
8829a18059fffff,47.0,29.56,182321.79744562597,83.64,measured
8829a1805bfffff,57.0,25.89,168434.99014284924,79.39,measured
8829a1805dfffff,46.0,29.48,182004.3239813612,83.77,measured
8829a18061fffff,1.0,25.33,79018.0,81.1,measured
8829a18063fffff,36.0,19.65,142738.2857277457,71.83,measured
8829a18065fffff,408.0,41.75,182146.23958530228,97.97,measured
8829a18067fffff,1.0,25.33,79018.0,81.1,measured
8829a18069fffff,126.0,30.84,237387.6794325056,83.79,measured
8829a1806bfffff,25.0,23.16,154995.35128179862,76.14,measured
8829a1806dfffff,100.0,31.1,248381.2387219262,83.77,measured
8829a18081fffff,603.0,14.79,248079.0,94.2,measured
8829a18083fffff,470.0,16.4,236460.46315266812,95.63,measured
8829a18085fffff,536.0,16.34,242958.96018453015,94.84,measured
8829a18087fffff,449.0,18.16,222190.3422757806,96.4,measured
8829a18089fffff,553.0,14.95,246563.3035282664,93.94,measured
8829a1808bfffff,357.0,18.43,248337.968994328,94.2,measured
8829a1808dfffff,295.0,21.9,244343.9358017653,97.99,measured
8829a180a1fffff,590.0,33.32,110590.09021427884,98.2,measured
8829a180a3fffff,455.0,27.97,152186.73832669712,98.1,measured
8829a180a5fffff,1154.0,26.78,131281.54687358972,98.87,measured
8829a180a7fffff,1091.0,19.84,174792.1706509286,98.28,measured
8829a180a9fffff,441.0,28.81,163571.10872253237,97.85,measured
8829a180abfffff,547.0,33.62,113104.57628263131,98.06,measured
8829a180adfffff,1095.0,19.87,159748.19324582227,99.3,measured
8829a180b1fffff,270.0,16.88,250000.85087768314,99.7,measured
8829a180b3fffff,270.0,16.88,250001.0,99.7,measured
8829a180b5fffff,284.0,17.47,242322.80150585956,99.48,measured
8829a180b7fffff,407.0,23.35,183224.21526383123,98.93,measured
8829a180b9fffff,340.0,18.42,221888.9531585922,98.36,measured
8829a180bbfffff,270.0,16.88,250000.99999999997,99.7,measured
8829a180bdfffff,352.0,18.93,216581.56055417616,98.23,measured
8829a180c1fffff,92.0,18.79,143197.07039163006,74.19,measured
8829a180c3fffff,240.0,14.55,221225.30678604153,93.68,measured
8829a180c5fffff,94.0,19.51,144309.0,71.6,measured
8829a180c7fffff,101.0,19.27,153458.56639553705,73.71,measured
8829a180c9fffff,88.0,17.03,140512.26283136292,80.44,measured
8829a180cbfffff,81.0,13.18,134607.0,94.2,measured
8829a180cdfffff,94.0,19.51,144309.0,71.6,measured
8829a180e1fffff,166.0,19.65,177010.761841032,89.78,measured
8829a180e3fffff,266.0,23.85,244821.0,99.4,measured
8829a180e5fffff,235.0,20.75,202466.4695014714,96.87,measured
8829a180e7fffff,271.0,24.16,235410.99688466595,99.17,measured
8829a180e9fffff,107.0,18.75,143559.6870746259,76.64,measured
8829a180ebfffff,119.0,20.94,177434.62172781993,80.76,measured
8829a180edfffff,200.0,16.25,141099.0,93.2,measured
8829a18101fffff,1.0,25.33,79018.0,81.1,measured
8829a18103fffff,1.0,25.33,79018.0,81.1,measured
8829a18105fffff,5.0,22.28,205800.34533698863,91.41,measured
8829a18107fffff,1.0,25.33,79018.0,81.1,measured
8829a18109fffff,1.0,25.33,79018.0,81.1,measured
8829a1810bfffff,1.0,25.33,79018.0,81.1,measured
8829a1810dfffff,1.0,25.33,79018.0,81.1,measured
8829a18111fffff,1.0,25.33,79018.0,81.1,measured
8829a18113fffff,20.0,38.73,120771.69600486312,92.43,measured
8829a18115fffff,1.0,25.33,79018.0,81.1,measured
8829a18117fffff,2.0,25.48,89586.74365069925,82.94,measured
8829a18119fffff,1.0,25.33,79018.0,81.1,measured
8829a1811bfffff,8.0,20.49,133321.07964411782,73.2,measured
8829a1811dfffff,1.0,25.33,79018.0,81.1,measured
8829a18121fffff,175.0,21.21,250001.0,95.0,measured
8829a18123fffff,60.0,21.27,247399.22727445303,94.79,measured
8829a18125fffff,182.0,22.49,250001.00000000003,95.97,measured
8829a18127fffff,180.0,22.1,250001.00000000003,95.67,measured
8829a18129fffff,173.0,21.21,249981.3139112205,95.0,measured
8829a1812bfffff,48.0,21.3,246347.6333962805,94.7,measured
8829a1812dfffff,176.0,21.42,250001.0,95.16,measured
8829a18131fffff,13.0,28.03,223286.59575480875,97.94,measured
8829a18133fffff,428.0,27.59,213268.73048506078,99.9,measured
8829a18135fffff,171.0,23.2,172630.89761058122,99.81,measured
8829a18137fffff,435.0,28.35,240076.3872867979,99.9,measured
8829a18139fffff,1.0,25.33,79018.0,81.1,measured
8829a1813bfffff,95.0,26.86,186859.41572695342,99.69,measured
8829a1813dfffff,1.0,25.33,79018.0,81.1,measured
8829a18141fffff,1.0,25.33,79018.0,81.1,measured
8829a18143fffff,1.0,25.33,79018.0,81.1,measured
8829a18145fffff,1.0,25.33,79018.0,81.1,measured
8829a18147fffff,1.0,25.33,79018.0,81.1,measured
8829a18149fffff,130.0,26.65,248496.63659706904,97.85,measured
8829a1814bfffff,402.0,26.66,249735.90288954135,97.97,measured
8829a1814dfffff,1.0,25.33,79018.0,81.1,measured
8829a18151fffff,1.0,25.33,79018.0,81.1,measured
8829a18153fffff,1.0,25.33,79018.0,81.1,measured
8829a18155fffff,1.0,25.33,79018.0,81.1,measured
8829a18157fffff,1.0,25.33,79018.0,81.1,measured
8829a18159fffff,325.0,41.73,182074.05780872388,97.95,measured
8829a1815bfffff,1.0,25.33,79018.0,81.1,measured
8829a1815dfffff,3.0,26.07,173527.98157691234,90.44,measured
8829a18161fffff,175.0,21.21,250001.00000000003,95.0,measured
8829a18163fffff,107.0,21.23,249129.08686383272,94.93,measured
8829a18165fffff,183.0,22.8,250001.0,96.2,measured
8829a18167fffff,175.0,21.22,250001.0,95.0,measured
8829a18169fffff,99.0,21.24,248955.63721210143,94.92,measured
8829a1816bfffff,24.0,21.42,241378.97140898887,94.3,measured
8829a1816dfffff,179.0,22.01,250001.00000000003,95.61,measured
8829a18181fffff,450.0,23.25,144740.0,99.8,measured
8829a18183fffff,1033.0,29.46,128831.45937638322,99.75,measured
8829a18185fffff,407.0,22.65,203815.20093264026,99.8,measured
8829a18187fffff,779.0,15.69,133434.83485354876,99.56,measured
8829a18189fffff,275.0,24.38,141893.14496993597,98.36,measured
