GEOID,pop,pop65,income,units
060290050062,2161,129,104770.0,495
060290051031,1581,769,36445.0,862
060290051032,578,177,135476.0,244
060290051041,1404,499,139667.0,554
060290051042,1069,681,88148.0,639
060290051043,1280,203,159712.0,394
060290051044,425,174,81667.0,207
060290052031,1526,786,27178.0,1047
060290052032,1645,727,49625.0,944
060290052033,1028,191,27453.0,559
060290052051,1185,259,26382.0,485
060290052052,2136,227,27197.0,1099
060290052053,849,165,23846.0,556
060290052061,936,304,37155.0,465
060290052062,595,366,48857.0,483
060290052063,754,157,35089.0,455
060290052071,739,260,36334.0,541
060290052072,407,167,71637.0,359
060290052073,281,229,43654.0,436
060290052081,668,105,55919.0,465
060290052082,1520,658,41803.0,1165
060290052083,683,316,,846
060290053001,439,12,78906.0,89
060290053002,2000,34,44832.0,697
060290054021,1326,468,67625.0,761
060290054022,1399,178,91845.0,589
060290054023,2330,449,111935.0,926
060290054051,1417,232,55356.0,541
060290054052,1452,159,56659.0,775
060290054061,1051,274,124526.0,383
060290054062,1615,443,102000.0,648
060290054063,1112,119,120069.0,442
060290054071,2244,173,54383.0,988
060290054072,1527,222,70815.0,684
060290054081,1624,182,76083.0,641
060290054082,1067,136,98750.0,376
060290054083,946,120,109138.0,510
060290054084,1055,63,51016.0,374
060290054091,1297,198,79432.0,758
060290054092,2212,207,104286.0,935
060290054093,935,97,115938.0,347
060290054101,1150,105,103250.0,577
060290054102,585,307,59399.0,272
060290055081,2211,133,83977.0,642
060290055082,1402,190,72012.0,598
060290055083,1399,288,36250.0,682
060290055091,1027,188,67063.0,570
060290055092,1496,138,,476
060290055093,2060,521,117126.0,931
060290055101,1116,236,84167.0,577
060290055102,594,195,89063.0,384
060290055111,1841,464,37285.0,1069
060290055112,1032,9,59211.0,334
060290055113,1286,225,57547.0,626
060290055121,3213,300,56458.0,995
060290055122,783,163,,406
060290055131,1560,244,67339.0,670
060290055132,615,86,40938.0,201
060290055141,829,236,59178.0,357
060290055142,1045,111,75859.0,403
060290055143,1745,217,21962.0,564
060290056001,790,123,74125.0,324
060290056002,1837,238,46304.0,847
060290057001,2706,0,94773.0,918
060290057002,0,0,,0
060290058031,1754,399,76391.0,555
060290058032,1154,132,58750.0,628
060290058041,2647,254,68762.0,681
060290058042,1144,126,15446.0,457
060290058043,1899,287,82821.0,693
060290058051,1881,120,96715.0,619
060290058052,701,62,115250.0,267
060290058061,1618,150,125459.0,575
060290058062,2626,215,122250.0,747
060290058063,992,18,135250.0,283
060290059001,1088,130,43409.0,320
060290059002,999,89,56379.0,370
060290059003,2111,222,49875.0,975
060290060021,3447,114,,0
060290060031,1095,506,60547.0,602
060290060032,1086,50,,291
060290060033,1801,539,155060.0,711
060290060034,2056,98,60568.0,869
060290060041,935,324,67159.0,594
060290060042,430,171,60833.0,326
060290060061,2059,456,94319.0,897
060290060062,724,203,171094.0,341
060290060063,1539,238,101923.0,570
060290060091,765,371,105655.0,664
060290060092,2217,757,122045.0,931
060290060101,2015,580,130144.0,967
060290060102,1384,399,102750.0,607
060290060111,1390,352,82280.0,621
060290060112,1341,517,83125.0,754
060290060121,1070,224,88382.0,463
